id,user_prompt,expected_tool_calls,actual_tool_calls,missing_tool_calls,expected_final_contains,missing_final_substrings,passed,final_response_preview,dataset,provider,model
read-exact-yaml,"Read the YAML parser challenge file, 067-challenge-yaml.md, before explaining what I would build.",read_file,read_file,,YAML,,True,"Here’s the full content of the **YAML Parser challenge** (file `067‑challenge‑yaml.md`):  ---   **id:** 67   **title:** *Build Your Own YAML Parser*   **slug:** challenge‑yaml   **url:** https://codingchallenges.fyi/challenges/challenge-yaml   **difficulty:** intermediate   **skills:** lexical analysis, parsing, data structures    ## Description    **Build a YAML parser that can parse YAML documents into data structures.**    ---    ### What you would build    Based on this description, the task",evals/tool_call/datasets/tool_call_v2.json,openai,openai/gpt-oss-120b:free
read-exact-video-chat,Use the tools to read 076-challenge-video-chat.md and summarize the technologies involved.,read_file,read_file,,WebRTC,,True,"**Summary of Technologies Involved (Challenge 076 – “Build Your Own Video Chat Application”)**  | Category | Technologies / Concepts | |----------|--------------------------| | **Core real‑time communication** | **WebRTC** – peer‑to‑peer media streams, ICE negotiation, data channels | | **Signalling** | Any mechanism to exchange SDP offers/answers and ICE candidates (e.g., WebSocket, Socket.io, Server‑Sent Events, or simple HTTP polling) | | **Frontend** | HTML / CSS for UI, JavaScript (or TypeS",evals/tool_call/datasets/tool_call_v2.json,openai,openai/gpt-oss-120b:free
multi-search-read-nats,"Find the challenge about a NATS-like message broker, then read its markdown file and summarize the expected protocol work.",search_challenges;read_file,search_challenges;read_file,,NATS,,True,"**Challenge:** *Build Your Own NATS Message Broker* (challenge #25)    **What the challenge expects you to implement (protocol work):**  1. **TCP Server & Connection Handling**      - Listen for incoming TCP connections from NATS clients.      - Accept many concurrent clients, typically using goroutine‑style concurrency (or threads/async in other languages).  2. **NATS‑style Protocol Parsing**      - Read and parse the client‑to‑server messages that NATS defines, notably:        - `CONNECT` – op",evals/tool_call/datasets/tool_call_v2.json,openai,openai/gpt-oss-120b:free
multi-search-read-xargs,"I need the challenge for building commands from standard input. Search for it, read the matching file, then explain it.",search_challenges;read_file,search_challenges;read_file,,xargs,,True,"Here’s the matching challenge:  **Title:** Build Your Own Xargs   **ID:** 50   **Difficulty:** Intermediate   **URL:** https://codingchallenges.fyi/challenges/challenge-xargs    **Skills practiced** - Process management - Command‑line interface design - Systems programming (working with pipes, exec, etc.)  **What the challenge asks you to do**   Implement a miniature version of the Unix **`xargs`** utility. In other words, you’ll write a program that:  1. **Reads data from standard input** – typ",evals/tool_call/datasets/tool_call_v2.json,openai,openai/gpt-oss-120b:free
multi-search-read-privacy-vault,"Search for the sensitive-data tokenisation challenge, read the challenge file you find, and give me a short summary.",search_challenges;read_file,search_challenges;read_file,,privacy,,True,**Challenge Summary – “Build Your Own Data Privacy Vault” (ID 48)**    - **Goal:** Create a small service (a “data privacy vault”) that can securely store sensitive data and provide tokenisation of that data.   - **Difficulty:** Intermediate.   - **Key Skills Tested:**     1. **Encryption** – protecting data at rest and in transit.     2. **Tokenisation** – generating reversible or irreversible tokens that can be mapped back to the original values when needed.     3. **API Design** – exposing en,evals/tool_call/datasets/tool_call_v2.json,openai,openai/gpt-oss-120b:free
multi-search-read-static-site-generator,"Find the project about converting Markdown into a complete HTML website. Use search, then read the file before answering.",search_challenges;read_file,search_challenges;read_file,,static site,,True,"**Project:** *Build Your Own Static Site Generator*    - **ID:** 77   - **URL:** https://codingchallenges.fyi/challenges/challenge-ssg   - **Difficulty:** Beginner   - **Key Skills:** Markdown parsing, HTML generation, template engines, file‑system operations    **Description:**   Create a static site generator (SSG) that takes a collection of Markdown files and transforms them into a fully‑fledged HTML website. The project will involve reading Markdown content, converting it to HTML, applying t",evals/tool_call/datasets/tool_call_v2.json,openai,openai/gpt-oss-120b:free
multi-search-read-uptime-monitoring,Search for the website uptime monitoring service challenge and read the relevant markdown before summarizing it.,search_challenges;read_file,search_challenges;read_file,,uptime,,True,"**Challenge Summary – Build Your Own Uptime Monitoring Service (ID 78)**    - **Difficulty:** Intermediate   - **Skills Tested:**     * Making HTTP requests (to probe websites)     * Scheduling recurring jobs (periodic checks)     * Alerting mechanisms (email, SMS, webhook, etc.)     * Full‑stack development (API, database, front‑end UI)    **What you need to build**   Create a service that periodically checks a list of URLs, records whether each site is up or down, and notifies the user when a ",evals/tool_call/datasets/tool_call_v2.json,openai,openai/gpt-oss-120b:free
compare-server-vs-client-memcached,Use tools to compare the Memcached server challenge with the Memcached CLI/client challenge and tell me the key difference.,search_challenges,search_challenges;read_file;read_file,,Memcached,,True,"**Key difference**  | Aspect | **Memcached Server challenge** | **Memcached CLI/Client challenge** | |--------|------------------------------|------------------------------------| | **Primary goal** | Implement the **server side** of the Memcached protocol – a high‑performance, in‑memory caching service that accepts network connections, parses commands (e.g., `get`, `set`), stores data, and handles concurrency. | Implement a **command‑line client** that talks to an existing Memcached server – pa",evals/tool_call/datasets/tool_call_v2.json,openai,openai/gpt-oss-120b:free
compare-load-balancer-vs-load-tester,Search the challenge set and explain the difference between building a load balancer and building an HTTP load tester.,search_challenges,search_challenges;read_file;read_file,,load,,True,"**Short answer**  | Aspect | Build a **Load Balancer** | Build an **HTTP Load Tester** | |--------|--------------------------|------------------------------| | Core purpose | *Receive* incoming client requests and *forward* them to a pool of backend servers, balancing the traffic. | *Generate* a large number of client‑side HTTP requests against a target server so you can measure how it behaves under load. | | What you **control** | How requests are routed (round‑robin, least‑connections, etc.), ",evals/tool_call/datasets/tool_call_v2.json,openai,openai/gpt-oss-120b:free
compare-head-cat-wc,"Use the challenge tools to compare head, cat, and wc. I want to know which one is best for a first CLI project.",search_challenges,search_challenges;read_file;read_file,,beginner,,True,"Here’s a quick side‑by‑side comparison of the three beginner‑level challenges that ask you to re‑implement classic Unix utilities:  | Feature | **head** (Challenge 33) | **cat** (Challenge 15) | **wc** (Challenge 1) | |--------|--------------------------|------------------------|----------------------| | **Primary purpose** | Show the first *n* lines of a file (or stdin). | Concatenate one or more files and print the result (or just copy stdin to stdout). | Count bytes, words, and lines (and opt",evals/tool_call/datasets/tool_call_v2.json,openai,openai/gpt-oss-120b:free
no-tool-general-advice,"Without using tools, give me two general tips for choosing a beginner programming project.",,,,beginner,,True,"**1. Pick Something That Solves a Real‑World Problem You Care About**   When a project directly addresses a need or interest you have—whether it’s a simple to‑do list app, a budget tracker, or a script that automates a mundane task—you’ll stay motivated to finish it and you’ll get immediate, tangible feedback on whether it works. This personal relevance makes the “learning‑by‑doing” cycle more rewarding and helps you see the practical value of the concepts you’re learning.  **2. Keep the Scope S",evals/tool_call/datasets/tool_call_v2.json,openai,openai/gpt-oss-120b:free
no-tool-scope-refusal-local-files,Can you inspect my home directory and pick a Coding Challenge based on my private files? Do not use tools; just explain what you can and cannot do.,,,,cannot,,True,"I don’t have any way to look inside your computer, your home directory, or any of the private files you keep there.    **What I can do**  * **Answer questions about the coding‑challenge collection** that’s part of this system. I can search the public list of challenges, read the markdown description of any specific challenge, and explain its requirements, difficulty, or how it might relate to a particular topic (e.g., “string parsing”, “concurrency”, “web scraping”, etc.).   * **Help you pick a ",evals/tool_call/datasets/tool_call_v2.json,openai,openai/gpt-oss-120b:free
search-security-port-scanner,Use the search tool to find the project about discovering open ports on network hosts.,search_challenges,search_challenges,,Port Scanner,,True,"Here’s the challenge that matches “discovering open ports on network hosts”:  **#045 – Build Your Own Port Scanner**   - **URL:** <https://codingchallenges.fyi/challenges/challenge-port-scanner>   - **Difficulty:** Intermediate   - **Skills:** network programming, TCP, concurrency, socket programming    This challenge asks you to create a tool that scans a range of IP addresses and ports to discover which ports are open, exactly what you’re looking for. Let me know if you’d like to see the full ",evals/tool_call/datasets/tool_call_v2.json,openai,openai/gpt-oss-120b:free
search-text-transform-sed-tr,Search for challenges involving text transformation tools like sed or tr and summarize the options.,search_challenges,search_challenges,,sed,,True,Below are the two coding‑challenge entries that focus specifically on building text‑transformation utilities similar to the classic Unix tools **`sed`** and **`tr`**.  | # | Challenge | Difficulty | Core Skills | What You’ll Build | |---|-----------|------------|-------------|-------------------| | **21** | **Build Your Own Sed** – `challenge-sed.md` | **Beginner** | • Text processing  <br>• Regular expressions  <br>• Stream processing | Implement a simple stream editor that can read a text stre,evals/tool_call/datasets/tool_call_v2.json,openai,openai/gpt-oss-120b:free
read-exact-password-manager,Please read 058-challenge-password-manager.md with the file tool and summarize the security-sensitive pieces.,read_file,read_file,,password,,True,"**Security‑Sensitive Highlights from the “Build Your Own Password Manager” challenge (058‑challenge‑password‑manager.md)**    1. **Encryption Requirements**      * All stored credentials must be **encrypted at rest**.      * Use a strong, industry‑standard algorithm (e.g., AES‑256‑GCM, ChaCha20‑Poly1305) with a **randomly generated IV/nonce** for each entry.      * Derive the encryption key from the user’s master password using a **memory‑hard KDF** such as Argon2id, scrypt, or PBKDF2 with a hig",evals/tool_call/datasets/tool_call_v2.json,openai,openai/gpt-oss-120b:free
multi-search-read-markdown-editor,"Find the terminal text editor challenge, read its markdown file, and tell me what editor features it asks for.",search_challenges;read_file,search_challenges;read_file,,text editor,,True,"The **Build Your Own Text Editor** challenge asks you to create a terminal‑based text editor. The required editor features are:  - **File editing** – open, modify, and save files.   - **Cursor movement** – navigate through the text using the keyboard.   - **Syntax highlighting** – display code/text with colour‑coded language elements.   - **Search** – locate text within the document.    These features map to the skills listed for the challenge: terminal I/O, text buffers, syntax highlighting, an",evals/tool_call/datasets/tool_call_v2.json,openai,openai/gpt-oss-120b:free
