id,user_prompt,expected_tool_calls,actual_tool_calls,missing_tool_calls,expected_final_contains,missing_final_substrings,passed,final_response_preview,dataset,provider,model
multi-search-read-nats,"Find the challenge about a NATS-like message broker, then read its markdown file and summarize the expected protocol work.",search_challenges;read_file,read_file,search_challenges,NATS,,False,"**Challenge 025 – “Build Your Own NATS Message Broker” – Protocol summary**  The challenge asks you to implement a tiny server that speaks a subset of the NATS protocol.  The core of the work is the **text‑based protocol exchange** between clients and the broker.    Below are the essential protocol pieces you need to support, as described in the markdown:  | **Command** | **Client → Server syntax** | **Server response** | **What it does** | |-------------|---------------------------|------------",evals/tool_call/datasets/tool_call.json,openai,openai/gpt-oss-120b:free
multi-search-read-xargs,"I need the challenge for building commands from standard input. Search for it, read the matching file, then explain it.",search_challenges;read_file,search_challenges;read_file,,xargs,,True,**Challenge:** *Build Your Own Xargs* (Challenge #50)    **Difficulty:** Intermediate    **Skills Involved**   - Process management   - Command‑line interface design   - Systems programming    **What the challenge asks you to do**   Create a clone of the Unix **`xargs`** utility.   `xargs` reads data (usually lines) from **standard input** and uses that data to build and execute other commands. Your implementation must:  1. **Read from stdin** – gather the input that will become arguments for th,evals/tool_call/datasets/tool_call.json,openai,openai/gpt-oss-120b:free
multi-search-read-privacy-vault,"Search for the sensitive-data tokenisation challenge, read the challenge file you find, and give me a short summary.",search_challenges;read_file,search_challenges;read_file,,privacy,,True,"**Challenge:** *Build Your Own Data Privacy Vault* (Challenge #48)    **Level:** Intermediate    **Key Skills:** encryption, tokenisation, API design, security    **Summary:**   You need to create a secure “vault” service that can store sensitive data safely and return *tokens* that represent that data. The vault must encrypt the stored values, provide an API (e.g., REST) for adding data, retrieving the token, and later de‑tokenising (fetching the original value). Proper handling of keys, access",evals/tool_call/datasets/tool_call.json,openai,openai/gpt-oss-120b:free
multi-search-read-static-site-generator,"Find the project about converting Markdown into a complete HTML website. Use search, then read the file before answering.",search_challenges;read_file,search_challenges;read_file,,static site,,True,"**Project:** Build Your Own Static Site Generator   **File:** `077-challenge-ssg.md`  **Description:**   Create a static site generator that reads Markdown files, parses the Markdown, and generates a complete HTML website. This project focuses on skills such as Markdown parsing, HTML generation, template engine usage, and file‑system operations. It’s categorized as a beginner‑level challenge.",evals/tool_call/datasets/tool_call.json,openai,openai/gpt-oss-120b:free
multi-search-read-uptime-monitoring,Search for the website uptime monitoring service challenge and read the relevant markdown before summarizing it.,search_challenges;read_file,search_challenges;read_file,,uptime,,True,"**Challenge Summary – Build Your Own Uptime Monitoring Service (Challenge 78)**    - **Difficulty:** Intermediate   - **Skills Practiced:**     - Making HTTP requests (to poll target sites)     - Scheduling recurring jobs (periodic health checks)     - Alerting mechanisms (email, SMS, webhook, etc.)     - Full‑stack development (frontend dashboard + backend service)    **Goal**   Create a web service that continuously checks the availability of specified websites. When a site stops responding (o",evals/tool_call/datasets/tool_call.json,openai,openai/gpt-oss-120b:free
compare-server-vs-client-memcached,Use tools to compare the Memcached server challenge with the Memcached CLI/client challenge and tell me the key difference.,search_challenges,read_file;read_file,search_challenges,Memcached,,False,"**Key difference**  - **Memcached Server challenge (017)** – Focuses on **building the server itself**. You must implement the full Memcached protocol, handle networking, concurrency, and the in‑memory caching data structures that store and retrieve values.  - **Memcached CLI/client challenge (070)** – Focuses on **building a command‑line client** that talks to an existing Memcached server. The work is limited to implementing the client‑side of the protocol and a user‑friendly CLI; you don’t bui",evals/tool_call/datasets/tool_call.json,openai,openai/gpt-oss-120b:free
compare-load-balancer-vs-load-tester,Search the challenge set and explain the difference between building a load balancer and building an HTTP load tester.,search_challenges,search_challenges,,load,,True,**Short answer**  | Aspect | Build‑Your‑Own **Load Balancer** (Challenge 005) | Build‑Your‑Own **HTTP(S) Load Tester** (Challenge 041) | |--------|---------------------------------------------------|--------------------------------------------------------| | **Goal** | A *server‑side* component that sits in front of a pool of backend services and **distributes incoming client requests** across them. | A *client‑side* utility that generates a **large volume of HTTP(S) requests** against a target ,evals/tool_call/datasets/tool_call.json,openai,openai/gpt-oss-120b:free
compare-head-cat-wc,"Use the challenge tools to compare head, cat, and wc. I want to know which one is best for a first CLI project.",search_challenges,read_file;read_file;read_file,search_challenges,beginner,,False,"Below is a quick side‑by‑side comparison of the three beginner‑level challenges you mentioned – **head**, **cat**, and **wc** – along with some guidance on which makes the best first CLI (command‑line interface) project.  | Aspect | **head** | **cat** | **wc** | |--------|----------|---------|--------| | **Core Goal** | Print the first *n* lines of a file (default 10). | Concatenate one or more files and write the result to stdout. | Count and report the number of **lines**, **words**, **bytes**",evals/tool_call/datasets/tool_call.json,openai,openai/gpt-oss-120b:free
no-tool-general-advice,"Without using tools, give me two general tips for choosing a beginner programming project.",,,,beginner,,True,"**1️⃣ Pick Something That Solves a Real‑World Need (Even a Tiny One)   **   When a project has a clear purpose—like “count the words in a text file” or “display the current time”—you instantly know *what* the program should do and *why* it matters. That focus keeps you motivated, makes it easy to test your code (you can verify the output manually), and gives you a concrete success metric when it works. For a beginner, aim for a small, everyday task you already perform on the command line or in d",evals/tool_call/datasets/tool_call.json,openai,openai/gpt-oss-120b:free
no-tool-scope-refusal-local-files,Can you inspect my home directory and pick a Coding Challenge based on my private files? Do not use tools; just explain what you can and cannot do.,,,,cannot,,True,"I’m not able to look at any files on your computer, your home directory, or any other private location.   My only sources of information are the public **Coding Challenges** index and the markdown files that belong to those challenges, which I can read with the provided tools. I also can fetch publicly‑available web pages if you give me a URL.  So:  * **What I can do:**     * Search the challenge index for topics, difficulty levels, or keywords you’re interested in.     * Open and read any of th",evals/tool_call/datasets/tool_call.json,openai,openai/gpt-oss-120b:free
search-security-port-scanner,Use the search tool to find the project about discovering open ports on network hosts.,search_challenges,search_challenges;read_file,,Port Scanner,,True,"**Project:** Build Your Own Port Scanner   **Path:** `045-challenge-port-scanner.md`    **Difficulty:** Intermediate    **Key Skills:**   - Network programming   - TCP   - Concurrency   - Socket programming    **Brief Description:**   Create a tool that scans a range of ports on one or more network hosts and reports which ports are open. This challenge helps you practice low‑level socket handling, parallel/concurrent scanning, and basic network security concepts.",evals/tool_call/datasets/tool_call.json,openai,openai/gpt-oss-120b:free
search-text-transform-sed-tr,Search for challenges involving text transformation tools like sed or tr and summarize the options.,search_challenges,search_challenges,,sed,,True,"Here are the coding‑challenge options that focus on **text‑transformation utilities** (the Unix‑style tools that work on streams of characters):  | # | Challenge | Difficulty | Core Skills | What you’ll build | |---|-----------|------------|-------------|-------------------| | **021** | **Build Your Own sed** | Beginner | • Text‑processing <br>• Regular expressions <br>• Stream editing | A miniature version of the Unix **sed** command. You’ll parse command‑line scripts, support basic editing com",evals/tool_call/datasets/tool_call.json,openai,openai/gpt-oss-120b:free
read-exact-password-manager,Please read 058-challenge-password-manager.md with the file tool and summarize the security-sensitive pieces.,read_file,read_file,,password,,True,"**Password‑Manager Challenge – Security‑Focused Summary**  | Section | Security‑relevant requirement / recommendation | |---------|-----------------------------------------------| | **Overall Goal** | Store credentials **encrypted at rest** and decrypt only in memory when needed. | | **Encryption** | - Use a **strong, authenticated cipher** (e.g., AES‑256‑GCM, ChaCha20‑Poly1305).<br>- Derive the encryption key from the **master password** with a **memory‑hard KDF** such as **Argon2id**, **scrypt",evals/tool_call/datasets/tool_call.json,openai,openai/gpt-oss-120b:free
multi-search-read-markdown-editor,"Find the terminal text editor challenge, read its markdown file, and tell me what editor features it asks for.",search_challenges;read_file,read_file,search_challenges,text editor,,False,"**Challenge 73 – Build Your Own Text Editor**    The markdown for this challenge specifies the following required editor features:  1. **File editing** – open, modify, and save plain‑text files.   2. **Cursor movement** – navigate through the buffer with arrow keys (and optionally Home/End, Page‑Up/Page‑Down).   3. **Syntax highlighting** – colour‑code the text based on language tokens (e.g., keywords, strings, comments).   4. **Search** – provide an in‑editor find function to locate text string",evals/tool_call/datasets/tool_call.json,openai,openai/gpt-oss-120b:free
index-out-of-scope-mobile-apps,"Use the index tool to check whether this challenge collection has any mobile app projects, and say if the fit looks weak.",read_challenge_index,search_challenges,read_challenge_index,mobile,,False,"I searched the collection for anything mentioning “mobile app.” The only match is the **“Build Your Own Scheduling Automation App”** challenge, which focuses on API integration, calendar protocols and general front‑end development – not on native mobile development, UI frameworks for iOS/Android, or mobile‑specific concerns.  So, the index contains **no dedicated mobile‑app projects**, and the single loosely related “scheduling automation app” is more of a web/desktop‑type tool. In other words, ",evals/tool_call/datasets/tool_call.json,openai,openai/gpt-oss-120b:free
